initial_conditions,termination_time,termination_reason
"(1.60643, 1.57556, 0, 0)",32.44108559356698,Large deviation
"(2.79603, 1.06184, 0, 0)",16.39210602216897,Large deviation
"(1.81672, 0.11292, 0, 0)",30.802058362952753,Large deviation
"(1.46272, 1.70477, 0, 0)",62.08515546322765,Large deviation
"(0.9002, 1.85616, 0, 0)",107.92348804490196,Large deviation
"(2.58428, 1.13157, 0, 0)",24.057505735255162,Large deviation
"(2.41901, 0.67802, 0, 0)",61.207610496115166,Large deviation
"(1.95687, 0.26813, 0, 0)",55.23224861973268,Large deviation
"(1.69846, 2.00255, 0, 0)",32.20384272323972,Large deviation
"(2.49815, 0.85084, 0, 0)",7.822508361591259,Large deviation
"(1.62201, 1.0146, 0, 0)",75.35357270372685,Large deviation
"(0.07964, 3.02425, 0, 0)",88.06179595974935,Large deviation
"(1.72545, 2.24497, 0, 0)",15.487288845492168,Large deviation
"(2.07407, 0.87944, 0, 0)",17.94440735780469,Large deviation
"(1.74155, 1.92178, 0, 0)",38.01046580256682,Large deviation
"(1.11832, 2.38084, 0, 0)",33.50064406189146,Large deviation
"(1.25194, 1.93475, 0, 0)",13.29820247628204,Large deviation
"(1.54446, 1.48746, 0, 0)",88.79668294905838,Large deviation
"(1.99521, 0.14233, 0, 0)",85.45131623682471,Large deviation
"(1.58065, 2.69074, 0, 0)",14.23550928682379,Large deviation
"(1.17688, 1.9662, 0, 0)",54.57403488178286,Large deviation
"(2.06935, 0.51187, 0, 0)",11.08207675936366,Large deviation
"(1.43964, 1.71411, 0, 0)",28.208582695245223,Large deviation
"(1.21947, 2.02095, 0, 0)",99.55987646900982,Large deviation
"(2.65425, 0.07311, 0, 0)",14.650784491347217,Large deviation
"(2.55873, 0.88547, 0, 0)",30.87046994627172,Large deviation
"(1.16873, 2.43917, 0, 0)",21.312399920137576,Large deviation
"(1.07067, 2.92406, 0, 0)",48.03697154014772,Large deviation
"(1.5873, 2.59639, 0, 0)",12.526591220480638,Large deviation
"(0.32397, 2.83545, 0, 0)",110.21291189994352,Large deviation
"(1.00547, 2.81337, 0, 0)",34.46740164295661,Large deviation
"(2.84434, 0.28679, 0, 0)",22.3742911171704,Large deviation
"(1.00315, 2.98471, 0, 0)",36.78302675930656,Large deviation
"(1.98498, 1.40883, 0, 0)",22.68119740774071,Large deviation
"(1.38711, 2.7888, 0, 0)",18.807903516190137,Large deviation
"(0.44922, 2.39236, 0, 0)",94.56900418812879,Large deviation
"(1.94219, 0.31769, 0, 0)",76.7501667339987,Large deviation
"(2.21873, 0.25556, 0, 0)",62.55937532652168,Large deviation
"(0.26653, 3.09962, 0, 0)",104.34678502547344,Large deviation
"(1.33273, 2.8474, 0, 0)",13.548550271478156,Large deviation
"(0.89759, 2.72878, 0, 0)",56.798551379132554,Large deviation
"(0.70245, 3.02605, 0, 0)",35.90952312944313,Large deviation
"(0.03818, 3.04696, 0, 0)",73.96447386350968,Large deviation
"(1.65782, 3.11949, 0, 0)",46.29460287713897,Large deviation
"(1.97731, 2.18576, 0, 0)",30.409478541876826,Large deviation
"(1.83568, 2.83107, 0, 0)",16.941719819802064,Large deviation
"(1.42798, 1.97153, 0, 0)",75.46613201161837,Large deviation
"(1.43149, 1.9482, 0, 0)",14.443143325943907,Large deviation
"(1.83361, 0.24421, 0, 0)",48.328563689574025,Large deviation
"(2.19334, 1.6842, 0, 0)",42.866220481292245,Large deviation
"(2.15115, 0.51088, 0, 0)",15.636522950848075,Large deviation
"(0.97241, 2.55661, 0, 0)",93.1089169746197,Large deviation
"(1.9271, 1.31395, 0, 0)",91.22305522293539,Large deviation
"(1.18269, 2.54643, 0, 0)",38.90968273677353,Large deviation
"(3.10162, 0.47255, 0, 0)",38.772106912976255,Large deviation
"(1.86652, 1.1966, 0, 0)",31.531885938995284,Large deviation
"(0.17711, 2.71661, 0, 0)",56.35412673782898,Large deviation
"(2.66925, 0.77707, 0, 0)",22.12258126863956,Large deviation
"(1.94191, 1.1252, 0, 0)",12.65495585494492,Large deviation
"(0.7183, 2.11021, 0, 0)",82.77152699664273,Large deviation
"(1.63459, 2.42631, 0, 0)",11.368064542534123,Large deviation
"(1.63414, 2.67721, 0, 0)",24.552224792199805,Large deviation
"(1.73387, 1.76224, 0, 0)",48.64525354892598,Large deviation
"(2.21193, 0.66905, 0, 0)",18.1964262964654,Large deviation
"(1.1014, 1.85328, 0, 0)",46.9162907284625,Large deviation
"(2.8405, 1.09408, 0, 0)",15.639700794120458,Large deviation
"(1.61475, 2.46192, 0, 0)",37.21840739621368,Large deviation
"(1.24578, 1.95434, 0, 0)",79.37569042380221,Large deviation
"(0.46204, 2.91096, 0, 0)",57.83737136517141,Large deviation
"(1.54603, 0.8113, 0, 0)",53.61620539038767,Large deviation
"(1.44242, 3.07886, 0, 0)",64.91635222000312,Large deviation
"(1.98989, 0.75444, 0, 0)",26.211467543750956,Large deviation
"(1.54761, 1.0328, 0, 0)",66.51443876325123,Large deviation
"(2.09719, 0.54136, 0, 0)",17.86598824980163,Large deviation
"(1.58153, 2.16894, 0, 0)",70.02411279560222,Large deviation
"(1.97261, 0.25685, 0, 0)",15.294032282810164,Large deviation
"(1.9423, 1.15898, 0, 0)",16.221082006163776,Large deviation
"(1.16387, 1.52217, 0, 0)",116.41285264673184,Large deviation
"(1.4531, 2.34825, 0, 0)",57.8832015623862,Large deviation
"(1.60748, 1.67168, 0, 0)",24.324858989952148,Large deviation
"(1.67327, 0.76174, 0, 0)",66.01158953643191,Large deviation
"(1.86483, 2.13346, 0, 0)",21.26983217937716,Large deviation
"(1.84362, 2.34187, 0, 0)",36.08226077730062,Large deviation
"(2.02921, 1.79315, 0, 0)",48.04198622005032,Large deviation
"(1.11871, 3.09923, 0, 0)",40.69996357258272,Large deviation
"(1.9031, 0.74527, 0, 0)",80.40684576869778,Large deviation
"(1.2893, 3.08623, 0, 0)",19.21286588619358,Large deviation
"(0.54467, 2.81727, 0, 0)",106.79490935493051,Large deviation
"(2.56691, 0.81023, 0, 0)",46.602810062742655,Large deviation
"(2.41743, 0.58762, 0, 0)",34.75830725494388,Large deviation
"(1.79577, 0.87958, 0, 0)",110.92590009322521,Large deviation
"(0.90676, 1.82601, 0, 0)",94.89972542356797,Large deviation
"(1.0127, 2.5443, 0, 0)",97.08803947704924,Large deviation
"(0.79998, 2.141, 0, 0)",107.0895170291915,Large deviation
"(1.096, 2.9202, 0, 0)",45.324798913100516,Large deviation
"(2.94788, 0.56936, 0, 0)",31.45272752361249,Large deviation
