initial_conditions,termination_time,termination_reason
"(1.63414, 2.67721, 0, 0)",67.32579565584484,Large deviation
"(1.73387, 1.76224, 0, 0)",88.6906217648504,Large deviation
"(2.21193, 0.66905, 0, 0)",85.2930897329564,Large deviation
"(1.61475, 2.46192, 0, 0)",62.730254886829464,Large deviation
"(1.54603, 0.8113, 0, 0)",107.00418324472442,Large deviation
"(1.44242, 3.07886, 0, 0)",76.60840796478541,Large deviation
"(1.98989, 0.75444, 0, 0)",86.13020541541486,Large deviation
"(2.09719, 0.54136, 0, 0)",84.23284671206335,Large deviation
"(1.97261, 0.25685, 0, 0)",85.7752857892202,Large deviation
"(1.9423, 1.15898, 0, 0)",40.006922519101046,Large deviation
"(1.4531, 2.34825, 0, 0)",76.10336117597137,Large deviation
"(1.60748, 1.67168, 0, 0)",72.85176390835632,Large deviation
"(2.02921, 1.79315, 0, 0)",67.46428843698988,Large deviation
"(1.11871, 3.09923, 0, 0)",110.13884618062842,Large deviation
"(1.2893, 3.08623, 0, 0)",106.59954218226537,Large deviation
"(2.56691, 0.81023, 0, 0)",117.22804082693004,Large deviation
"(2.41743, 0.58762, 0, 0)",68.80716015834672,Large deviation
"(1.096, 2.9202, 0, 0)",114.87540503151868,Large deviation
"(2.08978, 1.64326, 0, 0)",61.732441870027415,Large deviation
"(1.1273, 2.75581, 0, 0)",110.28481450456768,Large deviation
"(1.2329, 2.56542, 0, 0)",79.80111153296481,Large deviation
"(2.34868, 1.57934, 0, 0)",56.825574356299576,Large deviation
"(1.972, 1.05214, 0, 0)",53.79837026904167,Large deviation
"(1.94802, 1.67592, 0, 0)",80.32735100054721,Large deviation
"(0.34756, 2.65921, 0, 0)",118.9756414684721,Large deviation
"(2.50478, 0.47098, 0, 0)",63.486127161943315,Large deviation
"(0.72021, 2.26902, 0, 0)",103.97772879908989,Large deviation
"(2.1801, 1.70502, 0, 0)",48.532514873759595,Large deviation
"(1.45143, 2.97598, 0, 0)",84.93434191408828,Large deviation
"(1.5893, 1.92094, 0, 0)",101.89157569263388,Large deviation
"(1.81046, 1.90605, 0, 0)",39.218510328794494,Large deviation
"(2.22186, 0.47922, 0, 0)",88.56176775606717,Large deviation
"(1.33245, 2.31361, 0, 0)",82.42962678278246,Large deviation
"(1.85755, 1.2535, 0, 0)",102.04674567472323,Large deviation
"(2.52224, 0.01455, 0, 0)",54.171683752594504,Large deviation
"(1.68828, 2.88981, 0, 0)",77.51458082969042,Large deviation
"(2.31693, 1.42068, 0, 0)",53.410788976832094,Large deviation
"(1.82397, 1.98632, 0, 0)",73.33474245942216,Large deviation
"(0.26813, 3.13177, 0, 0)",97.35782617065937,Large deviation
"(1.57769, 1.87046, 0, 0)",117.46632351307746,Large deviation
"(2.43639, 1.42405, 0, 0)",79.6655801384487,Large deviation
"(1.64742, 1.3847, 0, 0)",100.60394469734192,Large deviation
"(2.02318, 1.28408, 0, 0)",68.95604735214566,Large deviation
"(2.51301, 0.56091, 0, 0)",50.84630973548501,Large deviation
"(2.05066, 0.74827, 0, 0)",83.38497391859707,Large deviation
"(2.60821, 1.24779, 0, 0)",52.65889756464249,Large deviation
"(2.09885, 0.64398, 0, 0)",55.53714427546557,Large deviation
"(1.32394, 2.80441, 0, 0)",82.60451686679599,Large deviation
"(2.56807, 1.07385, 0, 0)",57.985580973904966,Large deviation
"(1.85447, 0.84215, 0, 0)",83.45741244988557,Large deviation
"(1.96082, 1.2862, 0, 0)",103.93816113972278,Large deviation
"(1.73431, 1.37013, 0, 0)",112.41394061203022,Large deviation
"(2.39894, 0.44018, 0, 0)",64.17703788340846,Large deviation
"(0.92509, 2.97965, 0, 0)",109.69724626324079,Large deviation
"(1.99013, 0.81018, 0, 0)",88.31052977074198,Large deviation
"(1.88658, 2.08927, 0, 0)",78.39063312055656,Large deviation
"(2.25895, 0.93344, 0, 0)",55.401409370470226,Large deviation
"(1.77941, 1.49556, 0, 0)",91.64249729098168,Large deviation
"(2.30144, 0.67526, 0, 0)",69.34041458008053,Large deviation
"(1.55938, 1.87504, 0, 0)",81.43358920173922,Large deviation
"(1.05006, 2.42189, 0, 0)",81.29594465231096,Large deviation
"(2.16268, 1.36605, 0, 0)",73.71622327634972,Large deviation
"(2.28767, 1.55663, 0, 0)",90.90310790954878,Large deviation
"(0.69495, 3.10285, 0, 0)",53.331626275130795,Large deviation
"(2.19101, 0.93415, 0, 0)",64.80900838370346,Large deviation
"(1.00248, 2.60411, 0, 0)",110.72863327978082,Large deviation
"(1.06775, 2.27692, 0, 0)",100.69038601397573,Large deviation
"(1.69486, 2.48413, 0, 0)",91.37636171256038,Large deviation
"(2.41019, 1.2627, 0, 0)",61.20064659284615,Large deviation
"(1.50757, 1.97137, 0, 0)",64.0127875232498,Large deviation
"(2.4136, 1.31245, 0, 0)",42.29067740734906,Large deviation
"(1.32373, 2.31718, 0, 0)",85.10472220982265,Large deviation
"(1.2074, 2.13517, 0, 0)",73.54616597910115,Large deviation
"(2.47038, 0.28089, 0, 0)",63.563304239706476,Large deviation
"(1.31187, 2.76183, 0, 0)",69.37042206703066,Large deviation
"(1.90926, 1.61066, 0, 0)",82.73363691917554,Large deviation
"(2.44914, 1.09995, 0, 0)",39.857554491503095,Large deviation
"(2.18661, 0.48348, 0, 0)",78.44200909067457,Large deviation
"(1.24483, 2.38208, 0, 0)",110.22461359788268,Large deviation
"(2.56302, 0.7051, 0, 0)",64.21842777994593,Large deviation
"(1.86278, 1.82239, 0, 0)",74.79377049053218,Large deviation
"(2.0585, 1.73057, 0, 0)",72.26515592213055,Large deviation
"(2.27269, 1.55784, 0, 0)",70.2732553950513,Large deviation
"(2.14652, 0.23917, 0, 0)",73.50794239322792,Large deviation
"(1.50981, 1.8611, 0, 0)",104.83016109191398,Large deviation
"(2.59081, 1.09267, 0, 0)",87.42708113183488,Large deviation
"(2.13005, 1.7773, 0, 0)",47.27416871387784,Large deviation
"(1.05281, 2.3358, 0, 0)",71.93027810937372,Large deviation
"(2.59438, 0.40486, 0, 0)",93.65091676688341,Large deviation
"(1.9849, 0.8162, 0, 0)",110.76406943228649,Large deviation
"(2.44996, 0.33609, 0, 0)",62.93534596149542,Large deviation
"(1.99179, 1.69641, 0, 0)",108.97676928508685,Large deviation
"(2.16106, 0.21312, 0, 0)",102.84871823144553,Large deviation
"(0.9455, 2.22479, 0, 0)",91.5402403187775,Large deviation
